country,continent,year,lifeExp,pop,gdpPercap
Bahrain,Asia,2007,75.635,708573,29796.04834
"Hong Kong, China",Asia,1997,80,6495918,28377.63219
"Hong Kong, China",Asia,2002,81.495,6762476,30209.01516
"Hong Kong, China",Asia,2007,82.208,6980412,39724.97867
Israel,Asia,2007,80.745,6426679,25523.2771
Japan,Asia,1992,79.36,124329269,26824.89511
Japan,Asia,1997,80.69,125956499,28816.58499
Japan,Asia,2002,82,127065841,28604.5919
Japan,Asia,2007,82.603,127467972,31656.06806
Kuwait,Asia,1952,55.565,160000,108382.3529
Kuwait,Asia,1957,58.033,212846,113523.1329
Kuwait,Asia,1962,60.47,358266,95458.11176
Kuwait,Asia,1967,64.624,575003,80894.88326
Kuwait,Asia,1972,67.712,841934,109347.867
Kuwait,Asia,1977,69.343,1140357,59265.47714
Kuwait,Asia,1982,71.309,1497494,31354.03573
Kuwait,Asia,1987,74.174,1891487,28118.42998
Kuwait,Asia,1992,75.19,1418095,34932.91959
Kuwait,Asia,1997,76.156,1765345,40300.619960000004
Kuwait,Asia,2002,76.904,2111561,35110.10566
Kuwait,Asia,2007,77.588,2505559,47306.98978
Saudi Arabia,Asia,1977,58.69,8128505,34167.7626
Saudi Arabia,Asia,1982,63.012,11254672,33693.17525
Singapore,Asia,1997,77.158,3802309,33519.4766
Singapore,Asia,2002,78.77,4197776,36023.1054
Singapore,Asia,2007,79.972,4553009,47143.17964
Taiwan,Asia,2007,78.4,23174294,28718.27684
